Table 3,"Number of students receiving educational services, by state and district charter status: School years 2005–06 through 2009–10",,,,,
,,,,,,
State and district charter status,, Number of students ,,,,
,, 2005–06 , 2006–07 , 2007–08 , 2008–09 , 2009–10 
All districts,,"48,978,555","49,140,702","49,183,404","49,176,431","49,249,956"
Non-charter districts,,"38,329,987","37,387,950","36,919,228","36,821,628","36,417,104"
Charter districts,,"551,408","618,331","698,567","787,050","876,916"
Combined districts,,"10,097,160","11,134,421","11,565,609","11,567,753","11,955,936"
,,,,,,
Alabama,,,,,,
All districts,,"743,626","743,632","744,516","745,668","748,889"
Non-charter districts,,"743,626","743,632","744,516","745,668","748,889"
Charter districts,,,,,,
Combined districts,,,,,,
,,,,,,
Alaska,,,,,,
All districts,,"133,288","132,608","131,029","130,662","131,661"
Non-charter districts,,"28,198","27,670","27,589","29,656","29,302"
Charter districts,,,,,,
Combined districts,,"105,090","104,938","103,440","101,006","102,359"
,,,,,,
Arizona,,,,,,
All districts,,"1,094,454","1,065,082","1,087,447","1,087,631","1,077,831"
Non-charter districts,,"986,154","951,886","966,919","965,510","941,086"
Charter districts,,"89,353","93,210","98,897","104,677","113,500"
Combined districts,,"18,947","19,986","21,631","17,444","23,245"
,,,,,,
Arkansas,,,,,,
All districts,,"474,206","476,409","479,016","478,965","480,559"
Non-charter districts,,"412,291","413,112","411,207","413,337","409,401"
Charter districts,,"1,381","1,665","2,682","4,325","5,440"
Combined districts,,"60,534","61,632","65,127","61,303","65,718"
,,,,,,
California,,,,,,
All districts,,"6,312,103","6,287,004","6,275,445","6,252,031","6,191,525"
Non-charter districts,,"3,134,303","2,936,043","2,884,465","2,882,209","2,731,285"
Charter districts,,"6,306","7,002","8,654","11,171","13,120"
Combined districts,,"3,171,494","3,343,959","3,382,326","3,358,651","3,447,120"
,,,,,,
Colorado,,,,,,
All districts,,"779,826","793,569","801,867","818,443","832,368"
Non-charter districts,,"119,497","105,112","104,102","110,321","110,131"
Charter districts,,377,"2,735","4,421","5,728","6,581"
Combined districts,,"659,952","685,722","693,344","702,394","715,656"
,,,,,,
Connecticut,,,,,,
All districts,,"575,058","574,909","570,626","567,198","563,982"
Non-charter districts,,"572,131","571,331","566,606","562,502","558,768"
Charter districts,,"2,927","3,578","4,020","4,696","5,214"
Combined districts,,,,,,
,,,,,,
Delaware,,,,,,
All districts,,"120,937","122,254","122,574","125,430","126,801"
Non-charter districts,,"114,371","114,678","114,062","116,804","117,628"
Charter districts,,"6,566","7,576","8,512","8,626","9,173"
Combined districts,,,,,,
,,,,,,
District of Columbia,,,,,,
All districts,,"76,876","72,750","78,422","68,681","69,433"
Non-charter districts,,"59,616","57,559","58,191","44,402",0
Charter districts,,"17,260","11,761","20,231","24,279","25,567"
Combined districts,,,"3,430",,,"43,866"
,,,,,,
Florida,,,,,,
All districts,,"2,675,024","2,671,513","2,666,811","2,631,020","2,634,522"
Non-charter districts,,"193,732","200,685","165,500","165,020","146,341"
Charter districts,,"2,206",,,"2,248",
Combined districts,,"2,479,086","2,470,828","2,501,311","2,463,752","2,488,181"
See notes at end of table.,,,,,,
Table 3,"Number of students receiving educational services, by state and district charter status: School years 2005–06 through 2009–10—Continued",,,,,
,,,,,,
State and district charter status,, Number of students ,,,,
,, 2005–06 , 2006–07 , 2007–08 , 2008–09 , 2009–10 
Georgia,,,,,,
All districts,,"1,598,461","1,629,157","1,649,589","1,655,792","1,667,685"
 Non-charter districts,,"1,063,416","1,029,946","853,210","919,018","877,442"
Charterdistricts,,628,591,"3,162","5,770","5,656"
Combined districts,,"534,417","598,620","793,217","731,004","784,587"
,,,,,,
Hawaii,,,,,,
All districts,,"182,818","180,728","179,897","179,478","180,196"
Non-charter districts,,,,,,
Charter districts,,,,,,
Combined districts,,"182,818","180,728","179,897","179,478","180,196"
,,,,,,
Idaho,,,,,,
All districts,,"261,982","267,600","272,119","275,154","276,299"
Non-charter districts,,"131,967","133,180","143,063","145,321","144,592"
Charter districts,,"3,593","4,598","6,214","7,124","9,510"
Combined districts,,"126,422","129,822","122,842","122,709","122,197"
,,,,,,
Illinois,,,,,,
All districts,,"2,111,706","2,118,276","2,112,805","2,119,707","2,104,175"
Non-charter districts,,"1,650,405","1,665,530","1,646,349","1,627,003","1,595,653"
Charter districts,,339,346,360,361,362
Combined districts,,"460,962","452,400","466,096","492,343","508,160"
,,,,,,
Indiana,,,,,,
All districts,,"1,035,074","1,045,940","1,046,766","1,046,147","1,046,661"
Non-charter districts,,"1,014,906","1,036,912","1,035,646","1,029,705","1,028,173"
Charter districts,,"6,705","9,028","11,120","16,442","18,488"
Combined districts,,"13,463",,,,
,,,,,,
Iowa,,,,,,
All districts,,"483,482","483,122","485,114","487,559","491,255"
Non-charter districts,,"462,431","450,827","451,057","452,992","456,265"
Charter districts,,,,,,
Combined districts,,"21,051","32,295","34,057","34,567","34,990"
,,,,,,
Kansas,,,,,,
All districts,,"467,916","469,506","468,295","471,060","474,489"
Non-charter districts,,"407,992","406,212","400,907","387,676","386,211"
Charter districts,,,,,,
Combined districts,,"59,924","63,294","67,388","83,384","88,278"
,,,,,,
Kentucky,,,,,,
All districts,,"679,689","646,634","666,225","670,030","680,088"
Non-charter districts,,"679,689","646,634","666,225","670,030","680,088"
Charter districts,,,,,,
Combined districts,,,,,,
,,,,,,
Louisiana,,,,,,
All districts,,"654,526","675,851","681,038","684,873","690,915"
Non-charter districts,,"516,802","527,092","533,260","533,679","534,693"
Charter districts,,"3,110","10,479","13,122","17,677","22,869"
Combined districts,,"134,614","138,280","134,656","133,517","133,353"
,,,,,,
Maine,,,,,,
All districts,,"195,498","193,986","196,105","192,563","188,936"
Non-charter districts,,"195,498","193,986","196,105","192,563","188,936"
Charter districts,,,,,,
Combined districts,,,,,,
See notes at end of table.,,,,,,
Table 3,"Number of students receiving educational services, by state and district charter status: School years 2005–06 through 2009–10—Continued",,,,,
,,,,,,
State and district charter status,, Number of students ,,,,
,, 2005–06 , 2006–07 , 2007–08 , 2008–09 , 2009–10 
,,,,,,
Maryland,,,,,,
All districts,,"860,021","851,640","845,700","843,781","848,412"
Non-charter districts,,"659,141","483,253","464,715","361,273","364,426"
Charter districts,,,,,,
